,years_exp
6742,0
1360,6
3918,0
2638,1
1252,3
5423,1
2284,1
2541,4
1017,13
6595,0
3146,1
1069,5
2223,5
2193,2
3540,3
428,8
962,8
652,11
4834,2
5051,1
5125,1
1506,6
3659,3
2945,0
2311,4
2336,4
229,21
1885,5
3596,1
5068,1
991,8
4046,2
3846,3
1182,7
565,7
1950,5
6346,0
6401,0
2878,1
4101,2
708,9
416,13
265,15
6225,0
2826,4
6622,0
2107,5
5085,1
ATL,
5676,1
2255,5
3061,0
3618,0
1709,7
1219,7
240,12
3047,1
2472,4
3601,3
1929,5
5165,1
6129,0
210,11
4550,2
2584,1
5827,0
1320,1
5285,1
3003,4
1890,5
790,5
3132,0
2516,4
2774,1
5677,1
1248,7
5970,0
5224,1
2784,4
3095,0
3501,0
5742,1
2625,4
2839,4
75,11
5911,0
1370,1
3613,3
4399,2
3308,3
2526,4
2171,5
3743,3
1526,6
2932,
6007,0
2118,5
3458,3
4449,2
6542,0
2546,4
4645,2
5733,1
5299,1
5697,1
3235,3
2348,4
3632,0
2201,2
948,5
6205,0
2776,0
219,12
650,12
5511,1
6183,0
6063,0
6194,0
3104,
160,12
1515,1
1548,6
4164,2
5703,1
2961,4
354,10
3373,3
4198,2
3631,3
2423,4
2003,5
239,12
4429,2
4546,2
2345,4
6159,0
658,14
558,9
3948,0
1346,6
2724,4
5977,0
2767,0
4962,1
2018,2
624,8
711,11
838,8
4434,2
736,5
1821,5
TEN,
2554,4
6739,0
1838,5
2275,5
3395,3
4378,2
5347,1
6441,0
6701,0
5931,0
2106,5
3272,3
1066,7
6415,0
4622,2
3572,1
5281,0
3446,3
4214,2
5645,1
2706,1
3671,0
2538,0
1277,7
2254,5
5709,1
4229,2
4476,2
4188,2
4898,0
6134,0
71,10
2054,1
4156,2
6195,0
4242,2
4768,2
5837,0
4124,2
5797,1
6284,0
1939,5
6663,0
4658,2
5548,1
1026,4
3719,1
780,6
2282,5
4716,2
1048,7
1327,7
3122,0
3721,3
5277,1
4779,2
2508,1
1131,7
2341,4
5510,1
4530,2
4240,2
3598,3
4374,2
910,5
3814,3
635,9
3908,3
212,14
3828,3
5826,0
