,years_exp
5503,1
5830,0
6476,0
2652,1
5765,1
3290,3
6640,0
1382,6
1516,6
3342,3
5156,1
3976,2
2592,4
5604,1
732,9
243,7
348,6
3837,3
742,10
1207,3
4865,2
632,9
6566,0
1043,7
5876,0
3560,3
2949,
4238,2
4246,2
2717,1
2318,4
1090,7
6740,0
5605,1
1778,2
3183,3
1348,6
1898,5
2890,2
4537,2
4964,1
6695,0
2363,4
2085,2
3844,0
3529,1
3577,0
3588,0
2565,0
831,8
1379,6
400,6
4845,2
5200,1
3607,3
5771,1
1118,7
1528,6
1629,6
1614,6
6040,0
3109,
470,10
3769,0
4080,2
1655,6
3400,3
4620,2
1127,7
3430,3
823,8
3872,0
3821,0
5595,1
971,6
255,8
4355,2
4296,2
4051,2
3194,3
3636,0
4916,1
5922,0
2143,5
4514,2
3788,3
3941,3
4528,2
4800,0
5359,1
4952,0
5525,1
1836,5
5614,1
5993,0
6204,0
788,8
4249,2
5897,0
1336,2
4448,1
423,7
2377,4
6072,0
3399,3
4130,2
3961,0
1228,5
5810,0
2598,4
1393,6
3494,0
5794,1
1183,7
4805,2
4161,2
5148,1
2958,1
499,11
886,8
2014,5
4772,2
5726,1
4494,2
1887,5
4424,2
675,11
475,8
6628,0
5004,1
5345,1
4416,2
3137,
4780,2
4386,2
2090,1
15,8
6410,0
1413,6
5002,1
382,8
5706,0
4079,2
6570,0
4263,2
1801,1
4647,2
4178,2
6582,0
3859,3
2371,4
4247,2
277,8
4020,0
3912,3
2091,5
3026,
1316,2
3192,3
4966,1
6085,0
528,9
29,11
2366,4
5505,1
4689,2
6648,0
2759,0
6462,0
365,10
17,13
4384,2
3492,3
85,11
2570,0
2883,0
3927,0
5606,1
5834,0
5102,1
2674,0
2834,1
6652,0
5036,1
482,8
5319,1
625,9
3459,0
3848,0
4203,2
6704,0
2480,1
6241,0
3080,0
4083,2
100,18
690,9
4702,2
3317,3
3886,3
2432,4
3213,3
6035,0
6001,0
570,6
4536,2
568,9
3220,3
684,17
3665,0
5155,1
4085,2
5848,0
2936,
1706,6
6745,0
4671,2
5447,1
2184,5
2848,1
3732,3
6569,0
3287,3
3224,3
3324,3
4304,2
4595,2
774,9
3306,3
524,7
2319,4
3160,3
3358,3
6351,0
1415,6
272,11
3300,3
5919,0
3720,3
1027,7
741,11
6301,0
4676,2
5150,0
6399,0
1748,8
6083,0
6750,0
6661,0
5390,1
6156,0
895,8
783,9
3953,0
2327,4
2886,0
5821,0
2933,
2037,5
4900,0
2543,4
1469,6
5750,1
1948,5
3527,3
6004,0
4283,2
912,8
6192,0
5517,1
434,8
2027,5
5214,1
1676,2
4955,0
4300,2
6594,0
2035,1
2619,4
4254,2
5966,0
2215,5
4356,2
2469,4
1441,6
263,14
4202,2
1351,4
1422,1
1770,6
2136,4
63,9
3582,3
5515,0
3131,0
2173,1
1271,15
1432,1
3447,3
2395,4
1969,5
939,8
6720,0
6074,0
231,9
603,9
2477,4
5752,1
6747,0
3884,0
2740,0
1639,6
25,9
1468,3
4206,2
2490,4
253,10
5553,1
1324,1
4515,2
4149,2
4444,2
5271,1
3906,0
1508,3
593,6
OAK,
645,12
1796,5
806,4
2220,5
6535,0
1818,5
3566,0
3000,4
5696,1
126,11
3747,3
39,10
379,6
2441,4
911,8
227,8
5496,1
1245,7
5064,1
511,7
2022,5
5859,0
2825,1
5283,1
6418,0
3978,3
6087,0
6677,0
6643,0
5799,1
2227,5
6714,0
4394,2
3694,0
5920,0
5237,1
771,5
4185,2
3389,3
6749,0
5357,0
3165,0
4035,2
4422,2
6064,0
6264,0
65,8
3530,3
28,8
6563,0
1445,5
2249,5
1699,4
545,9
6427,0
1879,5
3351,3
2820,0
1323,7
5620,1
3667,3
1491,2
580,9
1653,6
6521,0
891,5
1931,5
4769,0
450,9
1908,1
4354,2
4534,2
5887,0
6463,0
4144,2
3498,3
1660,6
4988,1
3682,0
5059,1
6498,0
4230,2
4882,0
6532,0
4812,2
5276,1
5218,1
4686,0
3820,1
4092,2
1878,1
1742,7
2157,5
3012,0
3256,3
863,8
6669,0
1692,2
1270,7
2352,4
5101,1
4219,2
4075,2
1361,2
3663,1
2087,1
3900,0
4315,2
5366,1
5426,1
5495,1
3504,3
3118,3
3512,3
1618,1
3466,3
607,9
3434,0
2026,5
5058,1
405,5
4409,2
6339,0
2626,0
4874,1
2256,3
1957,5
3703,3
3052,0
2556,4
5710,1
5030,1
3998,0
1173,4
4284,2
1190,7
3141,
981,8
4129,2
5194,1
2005,5
184,12
3072,4
3850,0
5284,1
5259,1
5832,0
878,8
1283,7
620,4
2617,4
3616,3
3507,3
3441,3
4869,0
440,5
1606,6
1116,7
5874,0
4688,2
2349,4
54,11
3683,3
LAC,
3829,3
5768,1
4570,2
847,8
355,7
1237,1
6490,0
1984,5
5789,1
4687,2
1372,6
4726,2
5853,0
2141,5
781,9
2931,4
1193,7
2518,4
417,6
1862,2
2908,1
1029,7
144,7
3666,0
4808,2
3930,1
1917,1
6116,0
4783,2
4470,2
5501,1
2206,0
3945,0
2867,1
6307,0
6670,0
5424,1
4972,1
3944,0
6379,0
1943,0
4973,1
1471,6
4935,1
544,9
6668,0
4485,2
5450,1
6360,0
2387,4
5937,0
2944,4
BAL,
3477,3
6368,0
892,8
2424,4
4260,2
3569,0
3393,3
3519,3
4312,2
5383,1
3133,
2100,3
4086,2
4957,1
6635,0
489,7
536,9
4551,2
4233,2
1698,3
2613,4
5818,0
1956,5
2555,4
2574,0
3973,2
1290,7
4250,2
6025,0
1364,6
2552,0
166,11
1384,6
2547,4
59,12
1394,6
827,8
2260,5
463,10
6499,0
4701,2
4123,2
1759,7
1488,6
1247,7
2943,0
1826,5
4328,2
1974,5
3858,0
5212,1
5866,0
4571,2
5288,1
2846,0
4278,2
1427,2
6096,0
629,9
1167,3
6069,0
2509,2
4155,2
6181,0
6616,0
4734,2
1563,6
1317,2
4067,2
420,0
6544,0
5831,0
6388,0
4468,2
1064,7
1910,5
2413,4
5293,1
5123,1
3289,3
2983,4
982,6
2237,5
1955,3
1579,4
2007,1
2528,4
2600,0
3702,3
1767,2
2505,4
3245,3
211,13
67,11
3218,3
80,12
393,11
6119,0
1565,6
246,14
2222,5
5066,1
3025,
490,10
2824,4
503,10
368,10
500,9
5724,1
5363,1
5741,1
3784,3
5547,1
1544,4
1390,6
5012,1
429,10
122,13
1888,1
5722,1
4473,0
5032,1
2138,5
3176,3
5616,1
297,11
5453,1
4509,2
1059,7
1966,1
5248,1
2112,5
1988,5
4707,2
1436,1
1329,8
5688,1
1853,5
4007,0
2695,4
4003,0
4639,2
4182,2
6215,0
5629,1
4886,1
6543,0
663,15
970,3
6259,0
4403,2
18,9
6519,0
6126,0
4213,2
6261,0
4290,0
5847,0
6730,0
4749,2
5929,0
6398,0
4018,2
2838,0
5210,1
4069,2
525,9
2662,0
5736,1
3778,3
5955,0
1025,7
739,6
27,8
3782,0
2823,4
109,3
3697,0
1332,6
4612,2
5603,1
4970,1
653,10
5191,1
4152,2
35,8
3757,0
1705,1
3463,3
403,8
1738,2
804,4
6683,0
691,14
6038,0
3087,0
864,2
2935,
715,7
3791,0
5757,1
1896,1
3865,0
1217,3
478,10
634,9
4335,2
3216,3
3817,3
371,10
3910,0
2700,1
5130,1
4844,2
4251,2
1538,6
6187,0
493,10
1389,6
5189,1
5001,1
4586,2
5526,1
5585,2
3905,0
409,11
1223,7
4710,2
3135,0
4091,2
2160,5
1024,4
6336,0
135,13
302,11
2876,1
1727,1
5006,1
6500,0
1214,7
3590,3
1426,6
PHI,
1758,1
821,8
4054,2
6135,0
3473,3
4441,2
3939,0
1220,7
4946,0
6020,0
4750,2
268,14
1926,3
5260,1
932,5
3589,3
6324,0
5813,0
2916,0
4600,2
1331,3
1753,1
1175,7
2369,4
2062,5
1459,6
1133,2
1743,7
6694,0
4258,2
5408,1
5773,1
5946,0
3318,3
667,10
2881,1
748,9
5951,0
156,12
1682,1
4044,0
4351,2
4136,2
3542,0
561,6
6373,0
4274,2
5201,1
3581,3
5713,1
3907,0
5538,1
188,15
2317,4
4897,0
3609,0
6017,0
5633,1
2705,0
3439,3
3610,3
873,6
1994,5
2001,5
1388,6
3551,0
2426,4
3445,3
2676,4
6467,0
4786,2
5229,1
303,11
6524,0
6146,0
4925,1
2977,1
3615,0
5372,1
2148,5
5126,1
4747,2
5202,1
3398,3
5082,1
5619,1
3736,3
3415,3
805,5
2245,5
3282,3
1203,7
2159,1
JAX,
6320,0
1104,7
5879,0
2780,1
3062,0
3077,0
2072,1
5896,0
2990,5
3030,
1689,6
2785,1
2060,1
1675,6
3911,0
3091,0
6721,0
5238,1
5601,1
3711,0
1368,6
1169,7
3460,3
647,14
1233,7
2113,5
6659,0
3276,3
2493,4
6327,0
4019,0
6440,0
130,12
585,9
4243,2
83,11
4518,2
5942,0
5571,0
2218,1
1613,6
5458,1
1865,5
3258,3
4223,2
69,14
3267,3
6066,0
5063,1
2124,1
5213,1
1858,5
5927,0
344,10
5480,1
1374,6
694,7
4347,0
3082,0
287,9
5656,1
5481,1
6601,0
6075,0
2465,4
4341,2
1192,7
2351,4
588,7
5449,1
5486,0
4395,2
5576,1
2957,0
6646,0
4538,2
5807,1
2489,2
1031,7
592,3
5867,0
6751,0
3881,3
1227,7
5916,0
1125,7
418,6
2214,5
1241,4
1751,1
1840,5
1580,6
1895,5
740,15
2127,3
3678,3
1918,5
308,5
5432,1
3567,0
5025,1
5119,1
2274,3
3281,3
3786,3
GB,
4836,
3771,0
5476,1
6112,0
2926,
6118,0
5600,1
1002,2
4774,2
1044,7
1735,6
4826,2
5580,1
5986,0
1258,7
4369,2
861,5
2047,5
2128,5
5882,0
6748,0
5286,1
3053,1
3240,3
5871,0
3168,3
5352,0
5174,1
6329,0
1608,6
6314,0
4793,2
5079,1
1041,7
4500,2
2828,0
960,4
5137,1
6382,0
514,6
3370,3
1194,7
1825,5
988,8
3983,0
5309,1
5900,0
3362,3
5863,0
5647,1
5305,1
1991,5
4875,0
527,9
337,8
6033,0
1492,6
640,6
1954,3
937,8
3066,
4280,2
208,17
523,4
4696,2
110,13
5313,1
4093,2
4271,2
6322,0
3382,3
4336,2
818,8
6596,0
3766,3
5246,1
5884,0
3381,3
1519,6
1256,3
2901,
6425,0
3005,4
2457,4
1199,2
1716,7
5108,1
4382,2
4461,2
1424,3
2411,4
23,16
4479,1
1636,6
2357,4
261,10
1114,7
4653,2
159,17
1912,5
1176,3
5258,0
172,13
2919,1
6207,0
4132,2
5728,1
446,7
NYG,
5793,1
286,12
5434,1
4172,2
3578,0
454,5
4143,2
6590,0
2492,4
3421,3
1038,7
1882,5
477,16
136,10
3044,4
1053,7
2748,1
5087,1
2909,0
4529,2
3467,3
5631,1
3980,2
2618,0
1022,9
3309,3
6230,0
3662,3
6534,0
3815,3
5267,1
2533,4
1392,6
5433,1
2893,0
796,8
5630,1
610,9
2453,4
6196,0
4166,2
5472,1
5149,1
6258,0
4989,1
2101,1
4193,2
5883,0
1493,1
872,4
1951,5
1386,6
1667,6
1517,6
5412,1
1490,6
4532,2
807,5
6394,0
1530,6
3895,3
2729,4
4790,2
4796,0
3988,0
99,12
5464,1
3885,0
1712,2
5995,0
1780,4
3669,3
3419,0
6506,0
2997,0
1907,5
1298,9
288,16
2030,3
1140,5
1708,7
5241,1
762,7
1496,6
5142,1
1149,7
4597,2
5138,1
712,6
2772,1
6198,0
3651,0
6406,0
330,14
4555,0
IND,
2434,4
1673,2
842,8
2775,1
3403,3
814,8
975,1
4660,2
373,10
5746,1
4630,2
809,3
329,14
4088,2
2511,4
3579,0
3698,0
2770,0
1944,5
4919,1
3862,0
3934,3
6331,0
5841,0
6315,0
5843,0
1054,4
3742,3
5473,1
2044,0
920,3
5457,1
5675,0
5846,0
5754,1
6055,0
2422,4
2199,5
4644,2
1928,3
2175,5
4058,2
5622,1
88,13
2224,5
125,11
3536,0
2391,4
990,5
357,3
4406,1
1772,1
6023,0
1229,7
4467,2
1303,9
6567,0
6560,0
3293,3
2744,0
296,16
5513,1
5018,1
6088,0
3262,3
4887,0
4268,2
1545,6
3752,3
3326,3
1225,4
5498,0
1590,6
5316,1
6132,0
6686,0
6551,0
897,8
4910,1
3243,3
4453,2
2946,1
3869,0
687,6
2761,4
2444,4
6676,0
6723,0
4324,2
6332,0
5690,0
6435,0
6045,0
6684,0
5116,1
4316,2
6449,0
5524,0
3435,3
3546,3
3007,1
612,9
5731,1
2887,4
6106,0
924,8
3969,2
5842,0
6495,0
3455,0
2437,4
526,9
4472,2
2802,0
1623,6
4932,1
2822,4
3230,3
6357,0
5500,0
1832,5
6525,0
2105,5
NYJ,
5940,0
1678,6
6735,0
2696,4
3465,3
1779,6
894,8
6459,0
2305,7
5459,0
6267,0
2694,4
84,11
2326,4
5180,1
3604,3
1668,6
6291,0
4150,2
1794,5
4168,2
147,11
1781,7
2707,4
6317,0
2036,5
5034,1
132,11
1828,5
5840,0
555,10
3595,3
3186,3
1513,6
4691,2
4181,2
4798,2
1343,6
2226,5
152,9
CIN,
3994,0
776,11
2335,4
839,5
5110,1
5763,1
2140,5
4763,0
2116,2
6249,0
5232,0
281,11
3198,3
3320,3
97,11
787,8
2486,4
4390,2
1645,4
3021,
3892,0
2263,2
375,10
3975,0
2400,4
685,10
4360,2
4477,2
2342,4
3689,0
3502,3
6395,0
6724,0
1812,1
5484,1
3288,3
2709,2
518,9
2375,4
1681,6
4958,6
3845,0
1741,2
5354,0
1437,4
6151,0
3954,3
5262,1
5961,0
5185,1
3211,3
5292,1
4942,1
3271,3
6623,0
1524,2
5337,1
706,8
6484,0
264,10
2877,1
3387,3
3646,2
2334,4
3526,3
902,8
4894,0
3611,0
5825,1
3841,3
5056,1
5732,1
1148,7
2953,4
1253,7
3011,1
4034,2
5351,1
2917,1
3614,3
2228,5
3307,3
942,3
1555,6
5088,1
4601,2
5348,1
4011,0
5545,1
1756,6
6297,0
2994,1
5195,1
3799,0
4535,2
1501,3
5169,1
4071,2
5215,1
1028,7
718,9
3474,3
1375,2
6492,0
6420,0
3197,3
3356,3
2163,5
856,8
5124,1
1646,6
2789,4
2808,4
4729,2
4576,2
3874,0
560,9
6062,0
5392,1
1761,2
3203,3
1120,7
2122,5
1765,6
180,11
2763,0
6053,0
4413,2
2248,1
5445,1
4190,2
4609,2
4119,2
4533,2
2200,0
5924,0
5836,0
4006,0
1289,4
MIA,
3004,1
2960,0
3826,0
2847,1
4634,2
5196,1
6575,0
2766,0
4039,2
6633,0
5893,0
4333,2
6231,0
4061,2
1177,7
2473,4
2594,2
746,3
2314,4
4642,2
3677,0
1447,6
1628,3
1074,7
3383,3
6589,0
4171,2
4722,2
6707,0
214,12
3808,3
3480,0
3221,3
2126,5
3433,3
1806,5
1745,8
1462,3
2042,5
2991,4
5586,1
4489,2
1976,2
1412,6
131,11
2132,5
6690,0
5769,1
2065,1
515,9
5491,1
2843,4
868,8
72,11
5531,1
3410,0
2610,0
4743,2
183,9
2177,1
2279,5
5541,1
2885,4
1485,6
4594,2
114,11
5700,1
3238,3
6658,0
3171,3
3809,0
5492,1
293,9
5327,1
5672,0
1693,6
3284,3
133,10
1153,3
4577,2
284,13
248,15
2904,1
616,9
4026,2
3377,3
3385,3
4552,2
4339,2
6253,0
1784,1
5562,1
6475,0
3185,3
4822,2
3552,3
5307,1
6048,0
2417,4
31,13
5803,1
4217,2
4596,2
4560,2
6400,0
1603,6
5122,1
1788,5
5673,1
294,21
4765,2
1949,5
1122,7
4965,1
2251,5
3412,0
699,8
4209,2
5829,0
3184,3
2129,1
6465,0
799,8
374,14
5720,1
5418,1
2898,0
5969,0
4187,2
4525,2
657,14
1353,6
2076,1
6529,0
2693,4
4963,1
2679,4
CAR,
4593,2
851,5
6687,0
4412,2
1180,3
2244,5
1569,3
1913,5
6391,0
1065,7
4013,0
1035,7
3374,3
4411,2
3835,3
6171,0
2745,2
6030,0
3048,5
4672,2
1773,7
5858,0
2515,4
5188,1
597,9
2320,4
3001,0
6384,0
2021,3
3634,3
1866,5
5256,1
483,10
3800,0
6167,0
5047,1
3254,3
5796,1
2639,0
880,4
6300,0
1178,4
6097,0
777,10
1763,1
2751,4
900,2
4654,2
178,15
5441,1
2651,0
5046,1
5949,0
1799,1
6508,0
1547,6
2859,4
5705,1
3103,0
435,6
6367,0
1497,3
2888,0
3155,3
4070,2
1335,6
4259,2
935,4
496,7
2534,4
1144,7
2728,4
867,8
2640,4
4559,2
2914,0
3225,3
4904,0
4994,1
1940,5
3432,3
6538,0
4346,2
3523,3
4415,2
1040,7
4776,2
4697,2
4111,2
4146,2
549,6
2096,5
6127,0
1567,6
2117,2
4321,2
907,5
3693,0
4940,1
5976,0
5944,0
2942,1
2989,4
2494,1
5236,1
202,13
1138,7
6565,0
4474,2
3553,3
425,10
3478,3
306,13
406,10
338,10
2262,5
2097,1
3534,3
2743,1
1128,7
3538,3
342,14
2607,0
3413,0
853,3
6578,0
2209,1
1637,6
3792,1
4862,0
3247,3
1733,3
3338,3
2301,2
494,9
5334,1
1473,2
722,7
4327,2
313,10
914,6
2756,0
6421,0
2769,4
1061,7
6000,0
4652,2
2577,0
237,9
5086,1
5315,1
4349,2
4047,2
1222,7
4949,1
836,8
1540,6
6473,0
5932,0
4698,2
1236,7
2330,4
1672,6
641,9
43,9
1612,6
2871,4
1282,7
6562,0
5022,1
2023,5
195,8
6451,0
1307,3
6452,0
3491,3
1403,4
2660,4
5417,1
3456,3
5266,1
5611,1
817,8
6548,0
6438,0
5044,1
4023,0
4951,1
6281,0
5227,1
648,13
128,14
1749,3
2347,4
5301,1
185,16
4543,2
2381,4
6149,0
2287,5
5067,1
6439,0
6,12
5925,0
5749,1
1266,7
3876,0
1123,7
5997,0
3139,0
4592,2
1318,7
4907,0
5815,1
2732,4
2978,0
41,10
1641,6
464,10
4899,3
169,18
5024,1
1551,7
6513,0
3593,0
4572,2
2525,4
6100,0
5336,1
4400,2
1073,3
2186,2
1288,8
4426,2
4605,2
1795,5
5454,1
5816,0
1151,7
5103,1
4319,2
5860,0
594,9
6008,0
6010,0
1718,7
767,10
2596,4
4398,2
5912,0
3801,0
4758,0
2300,3
3123,0
5326,1
5660,1
3699,3
4746,2
3564,3
6283,0
2304,5
4503,2
5168,1
4365,2
5054,1
2111,2
4983,1
224,12
3392,3
6386,0
6076,0
4084,2
5186,1
4074,2
4556,2
4944,0
2180,3
1008,6
5197,1
3188,3
4385,2
2396,4
6699,0
4714,2
76,10
2032,5
6491,0
1084,7
4625,2
5530,1
4408,2
5263,1
2055,5
2765,0
3417,3
566,5
3970,0
5133,1
3993,0
6312,0
571,9
324,13
3903,0
2337,4
1632,2
2520,2
3106,1
730,9
4307,2
4936,1
2310,4
6530,0
3764,3
1662,6
6679,0
4984,1
4737,2
2612,4
161,6
618,9
455,10
3017,4
4674,2
4656,2
3510,3
4379,2
3606,0
4854,2
5035,1
832,3
6472,0
2231,5
5737,1
1004,5
3277,3
1410,6
1849,5
5333,1
3715,3
1112,9
190,10
1273,2
2353,4
3406,3
1532,6
598,7
5573,1
2783,0
4113,2
4797,2
6211,0
5397,0
5559,1
4683,1
6680,0
3511,3
5060,1
1671,1
2894,0
5814,1
1259,7
4640,0
1762,6
2068,5
5621,1
4490,1
4501,2
5270,0
4506,2
5819,0
6220,0
427,7
1452,1
1014,5
2471,4
4554,2
5735,1
6444,0
1946,3
1398,1
4118,2
2083,5
2749,4
1110,7
4363,2
3360,3
1046,7
538,9
628,9
6028,0
728,6
4482,2
1556,6
2155,3
1310,7
236,13
4000,0
4480,2
275,12
5695,1
5023,1
3449,3
6213,0
5683,1
2291,8
506,5
4134,2
5152,1
1889,5
5239,1
5790,1
1870,5
2503,4
5077,1
215,7
1373,6
2963,4
459,8
2190,5
938,5
3650,3
6166,0
1261,7
6154,0
5691,1
2166,5
404,23
2591,4
4915,1
30,10
5097,1
3205,3
553,6
2388,4
3292,3
6485,0
3485,3
4902,0
4833,2
1082,7
3462,0
3259,3
6614,0
808,8
2487,4
2443,4
660,11
4655,2
3328,3
1972,2
5776,1
4893,0
884,5
4176,2
401,7
5540,1
6223,0
721,9
5120,1
290,12
150,9
3031,
1269,7
6649,0
3150,3
4170,2
4848,2
441,10
550,9
NO,
4967,1
529,9
6142,0
5635,1
2162,5
3336,3
5421,1
1377,6
5968,0
6715,0
5242,1
4992,1
3722,1
972,8
3270,3
3014,4
2406,4
906,3
3083,0
1201,5
4391,2
542,4
6617,0
6345,0
5591,1
424,10
447,10
4617,2
793,4
4245,2
709,10
6392,0
5678,1
4589,2
1546,6
5414,1
5862,0
2892,4
4420,2
6517,0
6656,0
3924,0
4566,2
502,7
3972,0
3917,3
1032,7
187,14
3832,3
944,8
2272,1
4709,2
6375,0
5494,1
3909,3
2813,4
3172,3
3472,3
5869,0
2061,2
3424,3
535,9
4397,2
4732,2
3355,3
1847,1
1962,1
220,10
1906,5
5244,1
SF,
295,8
1010,3
3986,2
3938,1
978,5
1973,2
5483,1
5177,0
6102,0
4487,2
1970,5
3488,3
4231,2
2928,1
3020,0
5287,0
4934,1
1204,7
1246,3
576,9
4648,2
153,11
2008,5
2365,4
DAL,
3901,0
6110,0
6673,0
4450,2
4033,2
4669,2
3810,1
5141,1
66,6
2819,4
5465,1
3585,0
662,10
6448,0
5380,1
2588,4
552,7
5234,0
2866,1
6268,0
2910,
2277,5
5886,0
2364,4
1787,7
6456,0
723,8
5999,0
6577,0
4608,1
5193,1
492,7
1904,5
2290,5
1805,5
1919,5
3107,0
921,5
2475,4
2077,1
3348,3
3409,0
2269,2
6413,0
3621,3
4724,2
5250,1
2292,8
3802,3
6172,0
1152,3
4889,0
1272,8
1864,5
4978,1
768,8
2331,4
573,9
1687,6
3314,3
6330,0
2923,0
2624,1
1730,8
2394,4
1101,7
877,6
4785,2
4775,2
4302,2
3495,3
5979,0
3640,1
5792,5
2599,4
2418,4
6233,0
710,6
4195,2
5093,1
6412,0
2731,4
5335,1
949,8
2502,0
3157,3
4098,2
1809,5
2999,4
3388,3
1594,6
5788,1
3045,4
1845,5
2439,4
6541,0
3779,0
6709,0
917,8
3294,3
1250,5
3898,0
4718,2
4610,2
5877,0
174,11
1891,5
6455,0
5957,0
5745,1
5823,0
1559,6
367,10
2606,1
2938,0
5078,1
3964,2
720,9
1210,7
3652,3
1610,6
6054,0
1670,6
2981,0
2532,4
5581,1
3323,3
4694,2
2793,0
3353,3
3191,3
328,8
4670,2
3237,3
6140,0
6310,0
3416,3
6377,0
1442,6
2721,4
301,12
4819,2
2587,4
2985,4
6302,0
5679,1
2635,0
3790,3
3793,3
1755,6
6402,0
770,9
2057,1
6376,0
3894,3
2863,4
6013,0
6296,0
5061,1
3249,3
4548,2
2836,4
104,7
1481,2
1609,6
2849,4
6553,0
20,12
5561,1
591,7
5772,1
833,6
5369,1
3854,3
1867,1
1060,2
2630,4
5522,1
704,12
5945,0
2557,0
3583,3
6489,0
6292,0
3200,3
5071,1
4715,2
5225,1
6304,0
1512,6
959,4
3312,3
5845,0
5777,3
1701,1
207,13
1362,6
5099,1
3228,3
5129,1
6090,0
6533,0
341,13
6133,0
862,8
5499,1
3078,4
855,8
6396,0
5537,1
4920,1
4986,1
395,10
2325,4
388,10
5153,1
3444,3
5543,0
4358,2
2683,4
5184,1
5551,1
456,0
283,9
1458,3
5747,1
4042,2
5497,1
350,10
3638,0
6598,0
2170,5
5782,1
1224,4
DEN,
3121,0
1365,6
2099,5
1100,7
3974,0
1739,3
1744,3
3239,3
6243,0
5824,0
2959,0
5318,1
3783,3
6574,0
397,8
724,4
2684,0
412,15
1638,6
4200,2
4906,1
6056,0
2571,1
5903,0
3468,0
6706,0
4303,2
394,10
955,5
1881,5
2376,4
6381,0
2450,4
4239,2
2975,4
1760,1
1425,6
3497,3
2665,1
3361,3
1068,7
5415,1
6109,0
4059,2
791,8
749,10
5973,0
6603,0
3369,3
2723,1
5935,0
1816,5
3883,3
2158,1
3229,3
1356,6
3215,3
1162,4
587,9
5670,1
4621,2
2281,5
3637,3
6522,0
5759,1
495,10
505,5
4618,2
3401,3
3332,3
1480,6
5096,1
2429,4
3847,2
4310,2
5231,1
1037,7
1934,5
1642,6
267,13
5365,1
2507,4
6158,0
4381,2
3767,3
4619,2
6647,0
3085,0
4496,2
6086,0
671,7
4938,1
4810,2
6387,0
766,9
5918,0
3154,6
6014,0
2940,2
1581,3
2202,5
413,4
4753,2
6389,0
1665,1
2016,5
5767,1
2093,5
1499,6
824,8
3558,3
1625,6
6299,0
22,9
3861,0
1717,2
2183,5
3359,3
206,7
6660,0
2995,1
5895,0
2360,4
2151,5
1208,7
1783,1
6173,0
693,0
4052,0
5353,1
4446,2
1409,2
5373,1
4725,2
3144,3
3028,0
1003,6
1476,6
5205,1
6385,0
3571,0
1909,5
3088,0
319,11
1349,6
5011,1
1596,6
4508,2
3842,3
6620,0
4517,2
3339,3
4598,2
4114,2
436,9
3291,3
431,8
927,8
674,7
2098,5
3098,0
4276,2
452,7
21,9
141,3
5563,1
4777,0
2167,5
2174,5
6501,0
3594,3
2575,4
4270,2
2882,2
62,12
4602,2
336,14
2965,1
1894,1
117,13
4366,2
5440,1
517,9
4253,2
4677,2
4624,2
4337,2
6162,0
6319,0
6365,0
1213,7
512,8
2992,4
5913,0
3965,0
1914,2
2236,3
5964,0
5712,1
146,13
5657,1
56,12
4320,2
6416,0
4220,2
1105,7
439,11
270,10
5613,1
4265,2
1085,7
631,10
4843,2
1136,7
5791,1
3204,3
6536,0
4331,2
2197,5
931,5
6185,0
797,4
5379,1
4100,2
4806,2
4427,2
5582,1
3866,0
3161,3
1265,7
2398,4
3893,3
2234,5
4588,2
811,8
1557,6
6340,0
48,17
140,7
3357,3
3050,3
5654,1
2755,4
3928,0
3299,3
1807,7
4060,0
5159,1
3896,0
1635,6
651,9
4613,2
2969,1
321,7
2540,1
1078,7
3079,0
4611,2
3996,0
1971,5
763,12
3690,0
3426,3
2669,4
476,8
2649,0
5147,1
1414,6
2951,1
1305,8
4664,2
3630,0
2906,
1868,5
6037,0
2169,5
232,14
5320,1
3065,0
2830,4
4236,2
6099,0
6464,0
4192,2
4979,1
1045,7
5084,1
5662,1
3181,3
4633,2
5055,1
4293,2
4005,0
3775,0
6422,0
6746,0
2058,1
1423,6
3147,1
4954,1
4015,2
3643,3
2346,4
347,10
3033,
1334,6
2659,0
1820,5
2225,2
3448,3
1033,4
108,9
2204,5
469,8
2123,5
6559,0
5646,1
6222,0
1099,7
4784,0
95,11
554,9
714,9
3955,0
2747,4
1416,6
1279,5
2419,4
5948,0
4186,2
3264,3
5330,1
6355,0
874,8
5039,1
2998,4
5875,0
1883,5
4352,2
3979,0
5209,1
2267,5
2687,1
3958,3
1326,7
596,9
3724,0
953,8
2622,0
5928,0
2568,1
757,10
4866,1
946,8
1549,6
5760,1
177,15
2628,0
468,8
2146,5
3073,0
3099,0
6597,0
3325,3
6169,0
4311,2
3728,3
5344,1
4863,1
4679,2
5222,1
6265,0
6227,0
1861,5
4227,2
6041,0
6393,0
1776,1
2280,1
5098,1
4993,1
850,8
6206,0
1274,2
5407,1
3166,3
1977,5
4623,2
124,11
5822,1
639,9
2144,4
6236,0
6611,0
4064,2
5612,1
4332,2
4695,2
4521,2
2017,5
654,11
2971,0
1734,2
1117,4
1621,6
4921,1
1419,6
1829,5
5403,1
1367,6
4183,2
4811,2
2925,
5939,0
1720,5
4853,2
6428,0
6424,0
5437,0
4579,0
2934,0
3574,0
952,4
1819,5
3038,4
2803,4
2401,4
532,9
1726,2
6024,0
5636,1
3839,3
5331,1
2891,0
5253,1
4305,2
1624,2
1383,6
312,11
1172,7
2523,4
683,10
2013,5
6731,0
819,8
134,8
4081,2
4492,2
5770,1
1034,7
3482,0
TB,
